feature,importance
high,0.18401850171698916
cumulative_returns,0.17377613531468405
low,0.10828915753752758
open,0.1037010027876095
sma_5,0.08298927161728509
ema_10,0.06719065724890701
ema_5,0.06625338575384926
sma_10,0.0446326394939816
sma_50,0.039058049452606214
sma_20,0.03493705575908
ema_20,0.026039405478973727
ema_50,0.013701454564889881
macd_signal,0.009847748559319683
price_ema_50_ratio,0.004482902087575556
volatility,0.00439757348252525
price_sma_50_ratio,0.0041492871585313085
macd,0.004066120180666688
trend_strength,0.003561042809352779
volume,0.0031601533818197565
price_sma_20_ratio,0.0025266989951695886
returns_10d,0.002337220457705297
returns_2d,0.0018446777900864761
price_ema_20_ratio,0.0018227621299464962
macd_histogram,0.0016091242150090455
price_ema_10_ratio,0.001606759796568331
returns_5d,0.0016060897189467537
sma_cross,0.0014918949901060647
realized_volatility,0.001459132779260315
price_sma_10_ratio,0.001273092543278175
price_sma_5_ratio,0.0012267636252816436
returns_1d,0.0008187204841388434
price_ema_5_ratio,0.0007643577305677193
returns,0.0007383662697523189
log_returns,0.0006195436599961051
dividends,3.250428012702135e-06
stock_splits,0.0
